PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24,Hole25,Hole26,Hole27,Hole28
Par,Belmont Park Disc Golf Course,Short Tees with Long 16,2023-06-19 16:45,57,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,
Lianne,Belmont Park Disc Golf Course,Short Tees with Long 16,2023-06-19 16:45,73,16,4,5,4,3,5,3,4,3,4,3,3,4,4,4,4,5,3,3,5,,,,,,,,,
Lane,Belmont Park Disc Golf Course,Short Tees with Long 16,2023-06-19 16:45,60,3,3,4,2,3,4,3,3,3,4,3,3,3,3,3,3,4,3,3,3,,,,,,,,,
Par,Handyman Ace Hardware,White Tees (Short Tees) 20 Hole Layout,2023-06-19 09:22,72,,3,4,4,3,3,4,4,3,4,4,5,3,4,4,3,3,4,3,3,4,,,,,,,,
Lianne,Handyman Ace Hardware,White Tees (Short Tees) 20 Hole Layout,2023-06-19 09:22,75,9,5,4,5,3,3,4,4,3,4,5,5,6,3,5,0,0,4,2,5,5,,,,,,,,
Lane,Handyman Ace Hardware,White Tees (Short Tees) 20 Hole Layout,2023-06-19 09:22,60,-6,3,5,3,3,3,4,3,3,4,3,3,3,3,4,0,0,4,3,3,3,,,,,,,,
Par,John Bryan,Standard Tees,2023-06-18 18:34,28,,3,3,4,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
Lianne,John Bryan,Standard Tees,2023-06-18 18:34,31,3,2,3,4,3,4,4,2,4,5,,,,,,,,,,,,,,,,,,,
Lane,John Bryan,Standard Tees,2023-06-18 18:34,28,0,2,3,4,2,4,3,2,4,4,,,,,,,,,,,,,,,,,,,
Par,Xenia Rotary Disc Golf Course,Main 18 Hole Layout,2023-06-18 15:44,56,,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,,,,,,,,,,
